reward,training_time,waiting_time,avg_queue_length
-1473,3599.722242,15514,4.309444444444445
-1353,3605.527129,16708,4.641111111111111
-1272,3611.262219,15168,4.213333333333333
-1294,3617.438048,14355,3.9875
-1277,3623.278877,14657,4.0713888888888885
-1379,3629.155815,14304,3.973333333333333
-1306,3635.09246,15729,4.369166666666667
-1294,3640.773807,14661,4.0725
-1425,3646.493454,14526,4.035
-1360,3652.389595,16395,4.554166666666666
-1355,3658.163166,15351,4.264166666666667
-1415,3663.877317,15314,4.253888888888889
-1285,3669.655951,16147,4.485277777777778
-1269,3675.426389,14456,4.015555555555555
-1303,3681.324315,14335,3.9819444444444443
-1294,3687.258023,14766,4.101666666666667
-1321,3693.083923,14560,4.044444444444444
-1406,3699.15455,14881,4.133611111111111
-1257,3704.949433,15801,4.389166666666667
-1318,3710.862726,14138,3.9272222222222224
-1238,3716.726424,14786,4.107222222222222
-1360,3722.470185,13884,3.8566666666666665
-1280,3728.227616,15326,4.2572222222222225
-1362,3734.14884,14548,4.041111111111111
-1295,3739.911063,15276,4.243333333333333
-1443,3745.772098,14352,3.986666666666667
-1338,3751.524671,16409,4.558055555555556
-1301,3757.205299,14884,4.134444444444444
-1324,3762.934791,14466,4.0183333333333335
-1380,3768.838755,14856,4.126666666666667
-1357,3774.789451,15603,4.3341666666666665
-1579,3780.692898,15417,4.2825
-1430,3786.451595,18111,5.030833333333334
-1283,3792.310098,16132,4.481111111111111
-1430,3798.242239,14516,4.032222222222222
-1392,3803.989513,16124,4.478888888888889
-1417,3809.902395,15893,4.414722222222222
-1331,3815.608713,16013,4.448055555555555
-1365,3821.396601,15034,4.176111111111111
-1283,3827.218433,15393,4.275833333333333
-1330,3833.070008,14338,3.9827777777777778
-1283,3838.954524,14788,4.107777777777778
-1298,3844.736372,14607,4.0575
-1308,3850.481406,14803,4.111944444444444
-1303,3856.344138,14576,4.0488888888888885
-1335,3862.284642,14809,4.113611111111111
-1372,3868.266013,14968,4.157777777777778
-1293,3874.438977,15550,4.319444444444445
-1208,3880.121609,14852,4.125555555555556
-1334,3885.951491,13567,3.768611111111111
-1309,3891.752237,15130,4.2027777777777775
-1370,3897.545157,14616,4.06
-1306,3903.252858,15495,4.304166666666666
-1352,3909.011472,14691,4.0808333333333335
-1360,3914.778979,15442,4.289444444444444
-1299,3920.591621,15310,4.252777777777778
-1345,3926.829414,14625,4.0625
-1314,3932.90168,15101,4.1947222222222225
-1330,3938.729532,14596,4.054444444444444
-1394,3944.532078,15020,4.1722222222222225
-1388,3950.208011,15579,4.3275
-1363,3956.044285,15585,4.329166666666667
-1246,3961.872005,15417,4.2825
-1384,3967.627823,13898,3.8605555555555555
-1370,3973.515941,15681,4.355833333333333
-1287,3979.144317,15359,4.266388888888889
-1473,3985.024486,14462,4.017222222222222
-1231,3990.963338,16664,4.628888888888889
-1367,3996.7314,13745,3.8180555555555555
-1269,4002.526643,15421,4.283611111111111
-1261,4008.309956,14198,3.943888888888889
-1461,4014.098617,13935,3.870833333333333
